id,name,slug,sku,price,currency,on_sale,in_stock,permalink,image,categories
3711,De Rica-210g,de-rica-210g,SVA-1685559038482,1.29,GBP,FALSE,TRUE,https://fremu.co.uk/product/de-rica-210g/,https://fremu.co.uk/wp-content/uploads/2023/10/De-Rica-Tomato-Paste.jpg,Category: Cupboard Food
4587,Dunn&#8217;s River Ground Pimento- 80g,dunns-river-ground-pimento-80g,,1.99,GBP,FALSE,FALSE,https://fremu.co.uk/product/dunns-river-ground-pimento-80g/,https://fremu.co.uk/wp-content/uploads/2023/10/Ground-pimento-80g-1.png,Category: Spices &amp; Seasonings
4586,Fremu Pounded G-Nuts,fremu-pounded-g-nuts,,4.99,GBP,FALSE,FALSE,https://fremu.co.uk/product/fremu-pounded-g-nuts/,https://fremu.co.uk/wp-content/uploads/2023/10/Fremu-Pounded-G-Nuts.png,Category: Flour &amp; Gari
4592,Dunn&#8217;s River Jerk Seasoning &#8211; 100g,dunns-river-jerk-seasoning-100g,,1.99,GBP,FALSE,FALSE,https://fremu.co.uk/product/dunns-river-jerk-seasoning-100g/,https://fremu.co.uk/wp-content/uploads/2023/10/Jerk-seasoning-100g.png,Category: Spices &amp; Seasonings
4593,Dunn&#8217;s River Lamb Seasoning &#8211; 100g,dunns-river-lamb-seasoning-100g,,1.99,GBP,FALSE,FALSE,https://fremu.co.uk/product/dunns-river-lamb-seasoning-100g/,https://fremu.co.uk/wp-content/uploads/2023/10/Lamb-seasoning-100g.png,Category: Spices &amp; Seasonings
4598,Dunn&#8217;s River Mixed Herbs &#8211; 30g,dunns-river-mixed-herbs-30g,,1.99,GBP,FALSE,TRUE,https://fremu.co.uk/product/dunns-river-mixed-herbs-30g/,https://fremu.co.uk/wp-content/uploads/2023/10/Mixed-herbs-30g.png,Category: Spices &amp; Seasonings
4599,Ades Palm Oil &#8211; 4L,ades-palm-oil-4l,,14.89,GBP,FALSE,TRUE,https://fremu.co.uk/product/ades-palm-oil-4l/,https://fremu.co.uk/wp-content/uploads/2023/10/Palm-oil-4L.png,Category: Cupboard Food
3972,Vimto  Zero &#8211; 330ml,vimto-zero-330ml,SVA-1688995829362,0.89,GBP,FALSE,FALSE,https://fremu.co.uk/product/vimto-zero-330ml/,https://fremu.co.uk/wp-content/uploads/2023/10/Vimto_zero_-_330ml.png,Category: Drink
3854,Sun Exotic Pineapple&#038; Coconut-1ltr,sun-exotic-pineapple-coconut-1ltr,SVA-1686065877570,1.19,GBP,FALSE,TRUE,https://fremu.co.uk/product/sun-exotic-pineapple-coconut-1ltr/,https://fremu.co.uk/wp-content/uploads/2023/10/Sun-Exotic-Pineapple-Coconut-Juice-Drink-1Ltr.png,Category: Drink
3971,Fruit shoot &#8211; Orange 4 pack &#8211; 200ml,fruit-shoot-orange-4-pack-200ml,SVA-1688993878269,1,GBP,FALSE,TRUE,https://fremu.co.uk/product/fruit-shoot-orange-4-pack-200ml/,https://fremu.co.uk/wp-content/uploads/2023/10/914kxgIYoeL._AC_UF10001000_QL80_.jpg,Category: Drink
